MangaName,MangaLink
i-was-dismissed-hero%E2%80%99s-party-because-they-don%E2%80%99t-need-my-training-skills-so-i-strengthened-my,https://www.mangasaki.org/manga/i-was-dismissed-hero%E2%80%99s-party-because-they-don%E2%80%99t-need-my-training-skills-so-i-strengthened-my
weakest-occupation-blacksmith-its-actually-strongest,https://www.mangasaki.org/manga/weakest-occupation-blacksmith-its-actually-strongest
spirit-farmer,https://www.mangasaki.org/manga/spirit-farmer
jesus,https://www.mangasaki.org/manga/jesus
konyaku-haki-sareta-reijo-wo-hirotta-ore-ga-ikenai-koto-wo-oshiekomu-oishi-mono-wo-tabesasete,https://www.mangasaki.org/manga/konyaku-haki-sareta-reijo-wo-hirotta-ore-ga-ikenai-koto-wo-oshiekomu-oishi-mono-wo-tabesasete
villainess-who-has-been-killed-108-times,https://www.mangasaki.org/manga/villainess-who-has-been-killed-108-times
virgin-extinction-island,https://www.mangasaki.org/manga/virgin-extinction-island
ore-wa-mada-honki-o-dashite-inai,https://www.mangasaki.org/manga/ore-wa-mada-honki-o-dashite-inai
succubus-hitman,https://www.mangasaki.org/manga/succubus-hitman
long-way-warrior,https://www.mangasaki.org/manga/long-way-warrior
i-raised-cinderella-preciously,https://www.mangasaki.org/manga/i-raised-cinderella-preciously
dominating-town,https://www.mangasaki.org/manga/dominating-town
lord-baby-runs-romance-fantasy-cash,https://www.mangasaki.org/manga/lord-baby-runs-romance-fantasy-cash
saving-villain-who-was-abandoned-female-lead,https://www.mangasaki.org/manga/saving-villain-who-was-abandoned-female-lead
dictatorship,https://www.mangasaki.org/manga/dictatorship
mommy-coming-dad-please-take-it,https://www.mangasaki.org/manga/mommy-coming-dad-please-take-it
trouble,https://www.mangasaki.org/manga/trouble
big-life,https://www.mangasaki.org/manga/big-life
psycho-revenge,https://www.mangasaki.org/manga/psycho-revenge
greatest-clan,https://www.mangasaki.org/manga/greatest-clan
pocket-monsters,https://www.mangasaki.org/manga/pocket-monsters
revenge-dukes-daughter-theresia,https://www.mangasaki.org/manga/revenge-dukes-daughter-theresia
kuchi-ga-saketemo-kimi-ni-wa-2020,https://www.mangasaki.org/manga/kuchi-ga-saketemo-kimi-ni-wa-2020
portrait-queen-berta-i-accidentally-got-pregnant-his-majestys-child,https://www.mangasaki.org/manga/portrait-queen-berta-i-accidentally-got-pregnant-his-majestys-child
noble-girl-crush-plain-and-studious-guy-finds-arrogant-prince-be-nuisance,https://www.mangasaki.org/manga/noble-girl-crush-plain-and-studious-guy-finds-arrogant-prince-be-nuisance
konchuki,https://www.mangasaki.org/manga/konchuki
daughter-marquis-who-was-executed-under-false-accusation-wants-spend-peaceful-life-land,https://www.mangasaki.org/manga/daughter-marquis-who-was-executed-under-false-accusation-wants-spend-peaceful-life-land
story-otaku-and-gyaru-falling-love,https://www.mangasaki.org/manga/story-otaku-and-gyaru-falling-love
goal-become-gold-spoon-so-i-need-be-completely-invulnerable,https://www.mangasaki.org/manga/goal-become-gold-spoon-so-i-need-be-completely-invulnerable
your-majesty-please-dont-kill-me-again,https://www.mangasaki.org/manga/your-majesty-please-dont-kill-me-again
until-tall-kouhai-%E2%99%80-and-short-senpai-%E2%99%82-relationship-develops-romance,https://www.mangasaki.org/manga/until-tall-kouhai-%E2%99%80-and-short-senpai-%E2%99%82-relationship-develops-romance
sexual-education-120,https://www.mangasaki.org/manga/sexual-education-120
kanojo-hitomishirimasu,https://www.mangasaki.org/manga/kanojo-hitomishirimasu
neta-chara-tensei-ka-anmari-da,https://www.mangasaki.org/manga/neta-chara-tensei-ka-anmari-da
kajiya-de-hajimeru-isekai-slow-life,https://www.mangasaki.org/manga/kajiya-de-hajimeru-isekai-slow-life
when-i-rescued-beautiful-girl-who-was-about-be-molsted-it-was-my-childhood-friend-sitting-next,https://www.mangasaki.org/manga/when-i-rescued-beautiful-girl-who-was-about-be-molsted-it-was-my-childhood-friend-sitting-next
tokyo-babel,https://www.mangasaki.org/manga/tokyo-babel
reincarnated-great-saint-hides-shes-saint,https://www.mangasaki.org/manga/reincarnated-great-saint-hides-shes-saint
memorize,https://www.mangasaki.org/manga/memorize
katana,https://www.mangasaki.org/manga/katana
mamagoto,https://www.mangasaki.org/manga/mamagoto
hitorijime-choukyou-ganbou,https://www.mangasaki.org/manga/hitorijime-choukyou-ganbou
one-sword-reigns-supreme,https://www.mangasaki.org/manga/one-sword-reigns-supreme
bowblade-spirit,https://www.mangasaki.org/manga/bowblade-spirit
affectionately,https://www.mangasaki.org/manga/affectionately
isekai-ni-otosareta%E2%80%A6-jouka-wa-kihon,https://www.mangasaki.org/manga/isekai-ni-otosareta%E2%80%A6-jouka-wa-kihon
abide-wind,https://www.mangasaki.org/manga/abide-wind
sister-vampire,https://www.mangasaki.org/manga/sister-vampire
role-villainess-no-more,https://www.mangasaki.org/manga/role-villainess-no-more
sword-master-childhood-friend-power-harassed-me-harshly-so-i-broke-our-relationship-and-make,https://www.mangasaki.org/manga/sword-master-childhood-friend-power-harassed-me-harshly-so-i-broke-our-relationship-and-make
english-xx-sensei-temporary,https://www.mangasaki.org/manga/english-xx-sensei-temporary
natsume-arata-no-kekkon,https://www.mangasaki.org/manga/natsume-arata-no-kekkon
nengara-nenbyaku-ansatsu-renka,https://www.mangasaki.org/manga/nengara-nenbyaku-ansatsu-renka
actually-i-was-real-one,https://www.mangasaki.org/manga/actually-i-was-real-one
vow,https://www.mangasaki.org/manga/vow
lunatic%E2%80%99s-ugly-girl,https://www.mangasaki.org/manga/lunatic%E2%80%99s-ugly-girl
deor,https://www.mangasaki.org/manga/deor
bakuen,https://www.mangasaki.org/manga/bakuen
shin-mazinger-zero-vs-ankoku-daishougun,https://www.mangasaki.org/manga/shin-mazinger-zero-vs-ankoku-daishougun
magical-revolution-reincarnated-princess-and-genius-young-lady,https://www.mangasaki.org/manga/magical-revolution-reincarnated-princess-and-genius-young-lady
meccha-shoukan-sareta-ken,https://www.mangasaki.org/manga/meccha-shoukan-sareta-ken
