NomSite,NomManga,Chapitres,ChapterLink
mangamoins,black-clover,chapitre 270,https://mangamoins.shaeishu.co/download?scan=BC270
mangamoins,black-clover,chapitre 332,https://mangamoins.shaeishu.co/download?scan=BC332
mangamoins,one-piece,chapitre 1055,https://mangamoins.shaeishu.co/download?scan=OP1055
mangamoins,my-hero-academia,chapitre 360,https://mangamoins.shaeishu.co/download?scan=MHA360
mangamoins,one-piece,chapitre 1054,https://mangamoins.shaeishu.co/download?scan=OP1054
mangamoins,road-to-laugh-tale,chapitre 4,https://mangamoins.shaeishu.co/download?scan=RTLT4
mangamoins,my-hero-academia,chapitre 359,https://mangamoins.shaeishu.co/download?scan=MHA359
mangamoins,jujutsu-kaisen,chapitre 191,https://mangamoins.shaeishu.co/download?scan=JK191
mangamoins,love-is-war,chapitre 269,https://mangamoins.shaeishu.co/download?scan=LIW269
mangamoins,road-to-laugh-tale-vol-3,chapitre 3,https://mangamoins.shaeishu.co/download?scan=RTLTV33
mangamoins,jujutsu-kaisen,chapitre 190,https://mangamoins.shaeishu.co/download?scan=JK190
mangamoins,love-is-war,chapitre 268,https://mangamoins.shaeishu.co/download?scan=LIW268
mangamoins,berserk,chapitre 367,https://mangamoins.shaeishu.co/download?scan=B367
mangamoins,road-to-laugh-tale,chapitre 2,https://mangamoins.shaeishu.co/download?scan=RTLT2
mangamoins,my-hero-academia,chapitre 358,https://mangamoins.shaeishu.co/download?scan=MHA358
mangamoins,love-is-war,chapitre 267,https://mangamoins.shaeishu.co/download?scan=LIW267
mangamoins,road-to-laugh-tale,chapitre 1,https://mangamoins.shaeishu.co/download?scan=RTLT1
mangamoins,my-hero-academia,chapitre 357,https://mangamoins.shaeishu.co/download?scan=MHA357
mangamoins,jujutsu-kaisen,chapitre 189,https://mangamoins.shaeishu.co/download?scan=JK189
mangamoins,berserk,chapitre 366,https://mangamoins.shaeishu.co/download?scan=B366
mangamoins,berserk,chapitre 365,https://mangamoins.shaeishu.co/download?scan=B365
mangamoins,love-is-war,chapitre 266,https://mangamoins.shaeishu.co/download?scan=LIW266
mangamoins,boruto,chapitre 71,https://mangamoins.shaeishu.co/download?scan=B71
mangamoins,one-piece,chapitre 1053,https://mangamoins.shaeishu.co/download?scan=OP1053
mangamoins,jujutsu-kaisen,chapitre 188,https://mangamoins.shaeishu.co/download?scan=JK188
mangamoins,my-hero-academia,chapitre 356,https://mangamoins.shaeishu.co/download?scan=MHA356
mangamoins,love-is-war,chapitre 265,https://mangamoins.shaeishu.co/download?scan=LIW265
mangamoins,jujutsu-kaisen,chapitre 187,https://mangamoins.shaeishu.co/download?scan=JK187
mangamoins,one-piece,chapitre 1052,https://mangamoins.shaeishu.co/download?scan=OP1052
